species,country,in_degree,out_degree,total_degree,in_strength,out_strength,total_strength,betweenness,eigen_centrality,in_degree_norm,out_degree_norm,total_degree_norm
Horses,Democratic People's Republic of Korea,4,1,5,11,1,12,5.680532376120612,0.016965936494773064,0.02072538860103627,0.0051813471502590676,0.012953367875647668
Horses,Guinea,5,0,5,10,0,10,0,0.005665038148987345,0.025906735751295335,0,0.012953367875647668
Horses,Maldives,5,0,5,10,0,10,0,0.011023598932686724,0.025906735751295335,0,0.012953367875647668
Horses,Saint Kitts and Nevis,3,2,5,9,3,12,5.691737891737892,0.022844219081138598,0.015544041450777202,0.010362694300518135,0.012953367875647668
Horses,Vanuatu,2,3,5,2,4,6,29.078667967963295,0.0018227331703671913,0.010362694300518135,0.015544041450777202,0.012953367875647668
Horses,Bhutan,3,1,4,6,1,7,9.221252766841001,0.006035839165742081,0.015544041450777202,0.0051813471502590676,0.010362694300518135
Horses,Dominica,4,0,4,5,0,5,0,0.003317861066456988,0.02072538860103627,0,0.010362694300518135
Horses,Eritrea,4,0,4,5,0,5,0,0.00494511669545212,0.02072538860103627,0,0.010362694300518135
Horses,Faroe Islands,3,1,4,29,4,33,0,0.02124148094187299,0.015544041450777202,0.0051813471502590676,0.010362694300518135
Horses,Sao Tome and Principe,2,2,4,2,3,5,1.8361989459815546,0.0011274237388517792,0.010362694300518135,0.010362694300518135,0.010362694300518135
Horses,Central African Republic,3,0,3,3,0,3,0,0.0036348072060953447,0.015544041450777202,0,0.007772020725388601
Horses,Haiti,2,1,3,13,2,15,0,0.02782266126605729,0.010362694300518135,0.0051813471502590676,0.007772020725388601
Horses,Micronesia (Federated States of),3,0,3,6,0,6,0,0.010601384109300891,0.015544041450777202,0,0.007772020725388601
Horses,Myanmar,2,1,3,14,1,15,5.467164208340679,0.017067133071793524,0.010362694300518135,0.0051813471502590676,0.007772020725388601
Horses,Palestine,2,1,3,5,1,6,4.009115312791783,0.007446013794581291,0.010362694300518135,0.0051813471502590676,0.007772020725388601
Horses,Chad,2,0,2,4,0,4,0,0.00804702131748064,0.010362694300518135,0,0.0051813471502590676
Horses,Grenada,2,0,2,7,0,7,0,0.00137766621569229,0.010362694300518135,0,0.0051813471502590676
Horses,Lesotho,1,1,2,8,3,11,0,0.011525769267157185,0.0051813471502590676,0.0051813471502590676,0.0051813471502590676
Horses,Marshall Islands,2,0,2,3,0,3,0,0.005439419758027777,0.010362694300518135,0,0.0051813471502590676
Horses,Papua New Guinea,1,1,2,1,1,2,3.3189511508415683,0.0012396962837639802,0.0051813471502590676,0.0051813471502590676,0.0051813471502590676
Horses,Samoa,2,0,2,4,0,4,0,0.0020178313489360553,0.010362694300518135,0,0.0051813471502590676
Horses,Solomon Islands,2,0,2,4,0,4,0,0.004685292859752401,0.010362694300518135,0,0.0051813471502590676
Horses,South Sudan,2,0,2,2,0,2,0,3.5836756414420087e-4,0.010362694300518135,0,0.0051813471502590676
Horses,Timor-Leste,2,0,2,2,0,2,0,0.001649283223209531,0.010362694300518135,0,0.0051813471502590676
Horses,Tonga,2,0,2,2,0,2,0,0.003583904466424669,0.010362694300518135,0,0.0051813471502590676
Horses,Guinea-Bissau,1,0,1,1,0,1,0,2.090273067361387e-4,0.0051813471502590676,0,0.0025906735751295338
Horses,Liberia,1,0,1,2,0,2,0,0.002881442316789295,0.0051813471502590676,0,0.0025906735751295338
Horses,Niue,0,1,1,0,1,1,0,0,0,0.0051813471502590676,0.0025906735751295338
Chickens,Netherlands (Kingdom of the),39,147,186,304,1441,1745,1202.3490966352176,1,0.1989795918367347,0.75,0.4744897959183674
Chickens,France,36,145,181,237,1470,1707,1612.69287108116,0.7655332711991508,0.1836734693877551,0.7397959183673469,0.461734693877551
Chickens,United States of America,34,128,162,100,1122,1222,4032.5575223263763,0.254422730878768,0.17346938775510204,0.6530612244897959,0.413265306122449
Chickens,Germany,30,122,152,258,1079,1337,1527.6586631393486,0.9209019878589143,0.15306122448979592,0.6224489795918368,0.3877551020408163
Chickens,United Kingdom of Great Britain and Northern Ireland,24,114,138,160,1007,1167,1387.3432295396694,0.5643092642045819,0.12244897959183673,0.5816326530612245,0.3520408163265306
Chickens,Belgium,23,107,130,150,636,786,1349.4661811214128,0.5780471185267663,0.11734693877551021,0.5459183673469388,0.33163265306122447
Chickens,Hungary,25,81,106,230,633,863,499.49324546282753,0.8736735788528239,0.12755102040816327,0.413265306122449,0.27040816326530615
Chickens,Spain,26,79,105,172,399,571,983.6227279498914,0.6524250586296217,0.1326530612244898,0.4030612244897959,0.26785714285714285
Chickens,Denmark,32,58,90,169,370,539,1992.5053445218425,0.6133661022750454,0.16326530612244897,0.29591836734693877,0.22959183673469388
Chickens,Italy,29,54,83,226,322,548,642.7951660968081,0.8441521807926426,0.14795918367346939,0.2755102040816326,0.21173469387755103
Chickens,Thailand,30,53,83,166,191,357,2396.7683206136803,0.48091650907476025,0.15306122448979592,0.27040816326530615,0.21173469387755103
Chickens,Czechia,21,60,81,159,425,584,527.5658906718734,0.6807152596869052,0.10714285714285714,0.30612244897959184,0.2066326530612245
